Gene 1,Gene 2,Weight,Network group,Network
LAPTM4A,PPA2,0.0060575157,Co-expression,Roth-Zlotnik-2006
CNIH2,CNIH3,0.0093789585,Co-expression,Roth-Zlotnik-2006
MOGS,EIF3C,0.007263594,Co-expression,Roth-Zlotnik-2006
PPP2R5E,MYCBP2,0.017863939,Co-expression,Roth-Zlotnik-2006
CSNK1A1,DDX3X,0.015382653,Co-localization,Schadt-Shoemaker-2004
PGK1,DDX3X,0.011220873,Co-localization,Schadt-Shoemaker-2004
PGK1,CSNK1A1,0.011969638,Co-localization,Schadt-Shoemaker-2004
CSNK1A1,PPP2R5C,0.014505031,Pathway,Wu-Stein-2010
PSMD11,ANAPC5,0.01201343, ,Wu-Stein-2010
PSMD11,CSNK1A1,0.007870808,Pathway,Wu-Stein-2010
PAFAH1B1,NUF2,0.0077077844,Pathway,Wu-Stein-2010
APH1B,APH1A,0.023950927,Pathway,Wu-Stein-2010
PPP2R5E,CSNK1A1,0.014505031,Pathway,Wu-Stein-2010
EZR,PPA2,0.027733244,Physical Interactions,Wan-Emili-2015
PPP2R5C,API5,0.07071736,Physical Interactions,Wan-Emili-2015
PPP2R5E,API5,0.093767814,Physical Interactions,Wan-Emili-2015
PPP2R5E,PPP2R5C,0.12208357,Physical Interactions,Wan-Emili-2015
