Gene 1,Gene 2,Weight,Network group,Network
CHPT1,EIF4EBP2,0.0071853627,Co-expression,Innocenti-Brown-2011
KPNA1,PTPN11,0.0069217477,Co-expression,Innocenti-Brown-2011
KPNA1,RBBP4,0.0064661964,Co-expression,Innocenti-Brown-2011
KPNA1,TMED2,0.0054498506,Co-expression,Innocenti-Brown-2011
TIMM22,CDIPT,0.0066394475,Co-expression,Innocenti-Brown-2011
SFPQ,PSPC1,0.017959304,Co-expression,Innocenti-Brown-2011
PXMP4,NFS1,0.009533888,Co-expression,Innocenti-Brown-2011
DNAJB6,USP25,0.007958682,Co-expression,Roth-Zlotnik-2006
MAP3K7,ZNF644,0.02183172,Co-expression,Roth-Zlotnik-2006
TIMM23B,DNAJB6,0.0049973773,Co-expression,Roth-Zlotnik-2006
TIMM23B,SNRNP40,0.012296736,Co-expression,Roth-Zlotnik-2006
TIMM23B,KPNA1,0.016572937,Co-expression,Roth-Zlotnik-2006
TIMMDC1,DNAJB6,0.0039470573,Co-expression,Roth-Zlotnik-2006
TIMMDC1,TIMM23B,0.008799546,Co-expression,Roth-Zlotnik-2006
TIMM22,CDIPT,0.02444042,Co-expression,Roth-Zlotnik-2006
SPEN,MKLN1,0.0061424654,Co-expression,Rieger-Chu-2004
RBBP4,SPTLC1,0.019992802,Co-expression,Rieger-Chu-2004
STAT1,DNAJB6,0.013879035,Co-expression,Rieger-Chu-2004
SFPQ,DDX3X,0.02285227,Co-expression,Rieger-Chu-2004
SFPQ,SPEN,0.0063145785,Co-expression,Rieger-Chu-2004
KMT2A,NUP50,0.0142579805,Co-expression,Boldrick-Relman-2002
SPTLC2,MAP3K7,0.016869409,Co-expression,Boldrick-Relman-2002
MAP3K7,KMT2A,0.017456146,Co-expression,Perou-Botstein-2000
UFM1,ZNF644,0.022422586,Co-localization,Johnson-Shoemaker-2003
NUP50,PSPC1,0.023441615,Co-localization,Johnson-Shoemaker-2003
KMT2A,SPEN,0.03206519,Co-localization,Johnson-Shoemaker-2003
RBBP4,NUP50,0.007411562,Co-localization,Johnson-Shoemaker-2003
RBBP4,MAP3K7,0.005821608,Co-localization,Johnson-Shoemaker-2003
SRSF1,MAP3K7,0.009263041,Co-localization,Johnson-Shoemaker-2003
SRSF1,RBBP4,0.0030295295,Co-localization,Johnson-Shoemaker-2003
CD9,SPTLC1,0.009000927,Co-localization,Johnson-Shoemaker-2003
SNRNP40,MAP3K7,0.004777556,Co-localization,Johnson-Shoemaker-2003
IFNGR1,UFM1,0.018757835,Co-localization,Johnson-Shoemaker-2003
CHPT1,TMED2,0.012331806,Co-localization,Johnson-Shoemaker-2003
STAT1,RAB8B,0.011052298,Co-localization,Johnson-Shoemaker-2003
SFPQ,CASP2,0.008519207,Co-localization,Johnson-Shoemaker-2003
SFPQ,RBBP4,0.0061963107,Co-localization,Johnson-Shoemaker-2003
SFPQ,SRSF1,0.009446151,Co-localization,Johnson-Shoemaker-2003
SFPQ,SNRNP40,0.004652322,Co-localization,Johnson-Shoemaker-2003
CSNK1A1,DDX3X,0.015382653,Co-localization,Schadt-Shoemaker-2004
CD44,DDX3X,0.0127241695,Co-localization,Schadt-Shoemaker-2004
CD9,CD44,0.016869117,Co-localization,Schadt-Shoemaker-2004
TMEM135,PSPC1,0.0012421522,Genetic Interactions,Lin-Smith-2010
RAB8B,PSPC1,0.0028240508,Genetic Interactions,Lin-Smith-2010
UFM1,RAB8B,0.0008411195,Genetic Interactions,Lin-Smith-2010
USP25,PSPC1,0.0029005276,Genetic Interactions,Lin-Smith-2010
CEPT1,TMEM135,0.0005343808,Genetic Interactions,Lin-Smith-2010
EIF4EBP2,ZNF644,0.0007867054,Genetic Interactions,Lin-Smith-2010
EIF4EBP2,USP25,0.0010251119,Genetic Interactions,Lin-Smith-2010
NUP50,ZNF644,0.0012643095,Genetic Interactions,Lin-Smith-2010
MKLN1,CEPT1,0.0008079212,Genetic Interactions,Lin-Smith-2010
CSNK1A1,ZNF644,0.0009175448,Genetic Interactions,Lin-Smith-2010
CSNK1A1,PSPC1,0.0023297784,Genetic Interactions,Lin-Smith-2010
CSNK1A1,TMEM135,0.00051201676,Genetic Interactions,Lin-Smith-2010
CSNK1A1,RAB8B,0.0011640775,Genetic Interactions,Lin-Smith-2010
SPEN,MKLN1,0.00059234386,Genetic Interactions,Lin-Smith-2010
ZNF652,MKLN1,0.0009819497,Genetic Interactions,Lin-Smith-2010
ZNF652,CASP2,0.0030347714,Genetic Interactions,Lin-Smith-2010
SPTLC1,TMEM135,0.00079625257,Genetic Interactions,Lin-Smith-2010
SPTLC1,USP25,0.0018593153,Genetic Interactions,Lin-Smith-2010
SPTLC1,SPEN,0.001142779,Genetic Interactions,Lin-Smith-2010
KMT2A,UFM1,0.0005605609,Genetic Interactions,Lin-Smith-2010
KMT2A,EIF4EBP2,0.0006651688,Genetic Interactions,Lin-Smith-2010
KMT2A,NUP50,0.0010689888,Genetic Interactions,Lin-Smith-2010
MAP3K7,ZNF644,0.0004888905,Genetic Interactions,Lin-Smith-2010
MAP3K7,TMEM135,0.00027281514,Genetic Interactions,Lin-Smith-2010
MAP3K7,EIF4EBP2,0.00043872578,Genetic Interactions,Lin-Smith-2010
CD44,CSNK1A1,0.0010089314,Genetic Interactions,Lin-Smith-2010
CD44,MAP3K7,0.00053758343,Genetic Interactions,Lin-Smith-2010
SRSF1,CEPT1,0.0013230131,Genetic Interactions,Lin-Smith-2010
CD9,MKLN1,0.00068815483,Genetic Interactions,Lin-Smith-2010
CD9,CSNK1A1,0.00085370505,Genetic Interactions,Lin-Smith-2010
IFNGR1,UFM1,0.0009591145,Genetic Interactions,Lin-Smith-2010
IFNGR1,CEPT1,0.001385356,Genetic Interactions,Lin-Smith-2010
SRPK2,UFM1,0.00075351784,Genetic Interactions,Lin-Smith-2010
SRPK2,TMED2,0.0036812415,Genetic Interactions,Lin-Smith-2010
APH1B,TMEM135,0.00048625882,Genetic Interactions,Lin-Smith-2010
APH1B,SPTLC1,0.0014183192,Genetic Interactions,Lin-Smith-2010
APH1B,MAP3K7,0.00048595003,Genetic Interactions,Lin-Smith-2010
APH1B,SRPK2,0.0009903782,Genetic Interactions,Lin-Smith-2010
CHPT1,UFM1,0.0007799055,Genetic Interactions,Lin-Smith-2010
CHPT1,SRPK2,0.0011720873,Genetic Interactions,Lin-Smith-2010
CRLS1,TES,0.003943296,Genetic Interactions,Lin-Smith-2010
KPNA1,CSNK1A1,0.0009385391,Genetic Interactions,Lin-Smith-2010
KPNA1,MAP3K7,0.00050007674,Genetic Interactions,Lin-Smith-2010
KPNA1,RBBP4,0.0007527063,Genetic Interactions,Lin-Smith-2010
KPNA1,CD44,0.0009860295,Genetic Interactions,Lin-Smith-2010
CDIPT,TMEM135,0.0012198591,Genetic Interactions,Lin-Smith-2010
CDIPT,EIF4EBP2,0.0019617078,Genetic Interactions,Lin-Smith-2010
CDIPT,SRSF1,0.0030201115,Genetic Interactions,Lin-Smith-2010
NFS1,MAP3K7,0.0029675623,Genetic Interactions,Lin-Smith-2010
NFS1,CD44,0.0058513107,Genetic Interactions,Lin-Smith-2010
EIF4E,RASSF5,0.00088609185,Genetic Interactions,Lin-Smith-2010
EIF4E,RBBP4,0.00054214586,Genetic Interactions,Lin-Smith-2010
EIF4E,SNRNP40,0.002656322,Genetic Interactions,Lin-Smith-2010
EIF4E,NFS1,0.003920437,Genetic Interactions,Lin-Smith-2010
TIMM23,RAB8B,0.0014903888,Genetic Interactions,Lin-Smith-2010
TIMM23,SPEN,0.0009408345,Genetic Interactions,Lin-Smith-2010
TIMM23,MAP3K7,0.0006551277,Genetic Interactions,Lin-Smith-2010
TIMM23,CD44,0.0012917524,Genetic Interactions,Lin-Smith-2010
TIMMDC1,RBBP4,0.0019529245,Genetic Interactions,Lin-Smith-2010
TIMM22,ARPC4,0.006818181,Genetic Interactions,Lin-Smith-2010
STAT1,EIF4EBP1,0.009912871,Genetic Interactions,Lin-Smith-2010
SFPQ,APH1B,0.0008780314,Genetic Interactions,Lin-Smith-2010
SFPQ,KPNA1,0.00090355607,Genetic Interactions,Lin-Smith-2010
PXMP4,CEPT1,0.001023764,Genetic Interactions,Lin-Smith-2010
PXMP4,MAP3K7,0.0005226578,Genetic Interactions,Lin-Smith-2010
PXMP4,CD44,0.0010305541,Genetic Interactions,Lin-Smith-2010
MALT1,RASSF5,0.0037320878,Genetic Interactions,Lin-Smith-2010
CD44,APH1A,0.029445384,Pathway,Wu-Stein-2010
SRSF1,NUP50,0.009841988,Pathway,Wu-Stein-2010
SNRNP40,SRSF1,0.008217652,Pathway,Wu-Stein-2010
IFNGR1,PTPN11,0.009438839,Pathway,Wu-Stein-2010
APH1B,APH1A,0.023950927,Pathway,Wu-Stein-2010
APH1B,CD44,0.029445384,Pathway,Wu-Stein-2010
KPNA1,NUP50,0.020593127,Pathway,Wu-Stein-2010
EIF4E,NUP50,0.009193993,Pathway,Wu-Stein-2010
EIF4E,CASP2,0.011299843,Pathway,Wu-Stein-2010
EIF4E,EIF4EBP1,0.020493945,Pathway,Wu-Stein-2010
STAT1,PTPN11,0.0038125245,Pathway,Wu-Stein-2010
STAT1,IFNGR1,0.008470045,Pathway,Wu-Stein-2010
MALT1,MAP3K7,0.03259379,Pathway,Wu-Stein-2010
SRPK2,NUP50,0.07629278,Physical Interactions,Varjosalo-Gstaiger-2013
SRPK2,SRSF1,0.029124089,Physical Interactions,Varjosalo-Gstaiger-2013
SRPK2,DDX3X,0.06477486,Physical Interactions,Lipp-Guthrie-2015
SRPK2,SPEN,0.035603207,Physical Interactions,Lipp-Guthrie-2015
SRSF1,DDX3X,0.031975538,Physical Interactions,Hein-Mann-2015
SRSF1,SPEN,0.07581259,Physical Interactions,Hein-Mann-2015
TMED2,CD44,0.0126586305,Physical Interactions,Hein-Mann-2015
SPTLC2,SPTLC1,0.09282561,Physical Interactions,Hein-Mann-2015
KPNA1,NUP50,0.07023114,Physical Interactions,Hein-Mann-2015
