VIRID,HGNC Symbol,Status,Chromosome,Map Location,Description,Type,Fold Change,P-Value,False Discovery Rate,Probe ID
VIRLG112,SLC45A2,Downregulated,5,5p13.2,solute carrier family 45 member 2,protein-coding,-1.155,2.9224E-06,0.00123235,220245_at | 221644_s_at
VIRLG113,SLC6A17,Downregulated,1,1p13.3,solute carrier family 6 member 17,protein-coding,-1.43,7.79E-10,1.93E-06,229925_at
VIRLG114,SLCO4A1-AS1,Downregulated,20,20q13.33,SLCO4A1 antisense RNA 1,ncRNA,-1.35,1.02E-05,0.00361,1554332_a_at
VIRLG115,STXBP6,Upregulated,14,14q12,syntaxin binding protein 6,protein-coding,-0.945,5.44E-06,0.00229,230560_at
VIRLG116,TEX41,Downregulated,2,2q22.3,testis expressed 41,ncRNA,-1.57,2.82E-08,3.67E-05,231337_at
VIRLG117,TRPM1,Downregulated,15,15q13.3,transient receptor potential cation channel subfamily M member 1,protein-coding,-2.5925,5.515708125E-07,0.00030054154,214410_at | 206479_at | 237069_s_at | 237070_at
VIRLG118,TTYH2,Upregulated,17,17q25.1,tweety family member 2,protein-coding,-0.646,9.86E-06,0.00357,223741_s_at
VIRLG119,TYR,Downregulated,11,11q14.3,tyrosinase,protein-coding,-3.94,4.2625E-11,2.4155E-07,1555505_a_at | 206630_at
VIRLG120,TYRP1,Downregulated,9,9p23,tyrosinase related protein 1,protein-coding,-4.65,3.29E-07,0.000274,205694_at
VIRLG121,VEPH1,Downregulated,3,3q25.31-q25.32,ventricular zone expressed PH domain containing 1,protein-coding,-2.74,1.22E-08,1.96E-05,232122_s_at
VIRLG122,WDR63,Downregulated,1,1p22.3,WD repeat domain 63,protein-coding,-2.55,5.59E-08,6.47E-05,243087_at
VIRLG123,ZNF280B,Downregulated,22,22q11.22,zinc finger protein 280B,protein-coding,-1.09,1.45E-05,0.00458,230789_at
